id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad,distancia_cuerpo_agua,distancia_curso_agua,microbasurales_cercanos,se_inunda_binaria,frecuencia_num,frecuencia_codificada_Alta,frecuencia_codificada_Baja,frecuencia_codificada_Media,frecuencia_codificada_Otro
914,20779.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Quilmes,Villa La Florida,5759.038999477224,229.13124996541936,2,1,1,False,True,False,False
915,21978.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Moreno,Cuartel V,14120.696711480025,735.6447503404752,2,2,3,True,False,False,False
916,20034.0,2,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Esteban Echeverría,El Jagüel,11010.39210690822,52.132906593138976,1,2,2,False,False,True,False
917,17120.0,1,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,Quilmes,Quilmes Oeste,5396.068306157686,1219.2158298783872,3,1,1,False,True,False,False
918,21966.0,2,"Otro, especificar",Buenos Aires,Moreno,Cuartel V,17724.823213283955,1962.510312349896,3,2,0,False,False,False,True
919,12501.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Quilmes,Quilmes Oeste,4620.20454096529,155.8230032655974,4,1,2,False,False,True,False
920,23844.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Villa Albertina,13077.024779764137,909.6173978863586,2,2,3,True,False,False,False
921,23919.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Santa Catalina,13476.60133173061,149.64610697491418,9,2,3,True,False,False,False
922,15929.0,1,OCASIONALMENTE (ALGUNAS VECES POR AÑO),Buenos Aires,Moreno,Trujui,14279.588853167104,156.63906803452852,1,1,2,False,False,True,False
923,23918.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Santa Catalina,13138.32050254658,200.2883256207883,12,2,3,True,False,False,False
924,12837.0,1,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,Lomas de Zamora,Villa Fiorito,13236.609201216872,593.0425698608564,3,1,3,True,False,False,False
925,16743.0,2,SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO),Buenos Aires,La Matanza,Gregorio De Laferrere,6185.971453556802,1138.418924772997,1,2,1,False,True,False,False
945,23716.0,2,CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Buenos Aires,La Matanza,Rafael Castillo,5244.25346067972,15.239180773349425,3,2,3,True,False,False,False
