WKT,id,id_linea,provinicia,departamen,localidad
"MULTILINESTRING ((-60.5989152035046 -33.9008978210287,-60.5986829181903 -33.9009186671467,-60.5984744570108 -33.9009037770624,-60.5983047100504 -33.9008859089613,-60.5980813587867 -33.9008442167254,-60.5978758756241 -33.9008352826749,-60.5976703924614 -33.9008382606917,-60.5975155355853 -33.9008561287928,-60.5973845028439 -33.9009186671467,-60.5972534701025 -33.9009841835174,-60.5971194593442 -33.9010258757533,-60.5968437802813 -33.90107304609,-60.5966340425977 -33.9011181942756,-60.5964538725783 -33.9011956227137,-60.596340707938 -33.901249227017,-60.5962066971798 -33.9012849632192,-60.596084598489 -33.9013206994214,-60.5959595217813 -33.9013772817415,-60.595846357141 -33.9013981278595,-60.5957034123322 -33.9013921718258,-60.5955366433886 -33.9013564356236,-60.5953966765967 -33.9013326114888,-60.5951911934341 -33.901308787354,-60.5949142378671 -33.9012760291686,-60.5946045241147 -33.9012522050338,-60.5942665192023 -33.9011866886632,-60.5940223218206 -33.9011449964273,-60.59379599254 -33.901130106343,-60.5936351796301 -33.9011360623767,-60.5933850262148 -33.9011837106463,-60.5930931805635 -33.9012402929664,-60.5928087799543 -33.901287941236,-60.5924246157807 -33.9013206994214,-60.5921714843485 -33.9013266554551,-60.5919600451522 -33.901347501573,-60.5917128697537 -33.9013653696741,-60.5914359141866 -33.90140706191,-60.5912334090409 -33.9014308860448,-60.5909996347182 -33.9014308860448,-60.5907405472522 -33.9014040838932,-60.5902461964552 -33.901308787354,-60.5885330922624 -33.9009335572309,-60.5882531586785 -33.9008829309445,-60.5880357634485 -33.9008501727591,-60.5876218191064 -33.9008025244895,-60.587273391135 -33.9007876344053,-60.5868490237339 -33.9007787003547,-60.5864559255098 -33.9008203925906,-60.5860300691003 -33.9008859089613,-60.5856459049267 -33.9009573813657,-60.5828324235079 -33.9015797868873,-60.58199857879 -33.9017495338477,-60.5808833114798 -33.9019996872631,-60.5793272976759 -33.9023600273019,-60.5771347327703 -33.902952652655,-60.5763306682209 -33.9031938720198,-60.5746503222135 -33.9035810142103,-60.573747983108 -33.9037328930696,-60.5720348789152 -33.9041259912938,-60.5703925026227 -33.9045071774505,-60.5662009439067 -33.9056834941061,-60.5650670639912 -33.9061361526673,-60.5645645236478 -33.9063982181501,-60.5638892583272 -33.9067496241383,-60.5633621493448 -33.9070176456548,-60.5628916226825 -33.9073124693229,-60.5625975435186 -33.9075596447214,-60.5623205879516 -33.9078485123559,-60.5620615004857 -33.9082445885969,-60.5617309406154 -33.9089205984217,-60.5615046113348 -33.9094715315389,-60.5613527324755 -33.9098378276114,-60.5611591613802 -33.9101207392122,-60.5606246073557 -33.910600199925,-60.5604310362605 -33.9107848369696,-60.5603718718637 -33.9108647089053,-60.5606418105586 -33.9096980922653,-60.5606577116554 -33.9093694695983,-60.5605674961807 -33.9088975505801,-60.5605870401141 -33.9083305979413,-60.5604827995908 -33.9080797139698,-60.5601294418843 -33.9072404894169),(-60.5603716620495 -33.9108656156767,-60.5603718718637 -33.9108647089053,-60.5603119155865 -33.9109456498795,-60.5602255530979 -33.9111570890758,-60.5601362125924 -33.9115650773842,-60.5600617621711 -33.9119909337937,-60.5599992238173 -33.9121993949732,-60.5599396634803 -33.9123244716809,-60.559791507142 -33.912500174675,-60.559356716682 -33.9128813608318,-60.5588184401364 -33.9133757116288,-60.5584298089375 -33.9137598758024,-60.557944392191 -33.9141351059255,-60.5574023931244 -33.914441841661,-60.5570509871361 -33.9145937205204,-60.5567784985944 -33.914739643346,-60.5566087516339 -33.9148796101379,-60.556468784842 -33.9150493570983,-60.5563020158984 -33.9152578182778,-60.5561062112905 -33.9154811695416,-60.555918596229 -33.9157313229569))","99","102241",Buenos Aires,Pergamino,Pergamino
"MULTILINESTRING ((-60.4957303943126 -35.1064279955166,-60.5013806384344 -35.1073827730625,-60.5013806384344 -35.1073827730625,-60.5030274826615 -35.1076376418119,-60.5040508787168 -35.1078297736384))","100","107287",Buenos Aires,Bragado,Bragado
"MULTILINESTRING ((-53.6418107269791 -26.2600357138345,-53.6418961225412 -26.2607615761124,-53.6419510196883 -26.2615545349035,-53.6421462095445 -26.2621645032043,-53.6422072063746 -26.2628476677012))","159","122010",Misiones,General Manuel Belgrano,Bernardo De Irigoyen
"MULTILINESTRING ((-58.6541491886997 -34.7936985085068,-58.6576433351444 -34.7966057828096))","538",,Buenos Aires,La Matanza,Virrey Del Pino
"MULTILINESTRING ((-62.7017577365041 -31.8858841603493,-62.7017325907946 -31.885941951098))","777","7511",Córdoba,San Justo,Las Varillas
"MULTILINESTRING ((-58.0396526622282 -34.9405329868465,-58.0384988021032 -34.9393097670158,-58.038411533515 -34.9390037123896,-58.0377539462658 -34.9381365576152,-58.0375081192567 -34.9378876577685,-58.0373581647812 -34.9375926653577,-58.0370926716115 -34.9370936365293,-58.036760853782 -34.9368394387718,-58.0366422916264 -34.9366654201241,-58.0365963965984 -34.936472278548,-58.0365734490844 -34.9363001721931,-58.0365619753274 -34.9361318904239,-58.0365371155206 -34.9360553987106,-58.0364912204926 -34.9359865561686,-58.0364587115145 -34.9358966784055,-58.0364740098571 -34.9358316604492,-58.0364912204926 -34.9357819408356,-58.0365332909349 -34.9357398703933,-58.0366365547479 -34.9356652909728,-58.036725160233 -34.9355719673433,-58.0367876258816 -34.9354970092036,-58.0368427941719 -34.9353786806781,-58.0369511274925 -34.9350043626612,-58.0368755913519 -34.9348755140331,-58.0367952750529 -34.9347454781205,-58.0367570291963 -34.9346823724571,-58.036772327539 -34.9346403020148,-58.0368182225669 -34.9345944069868,-58.0368736790591 -34.934558073423,-58.036931047844 -34.9345198275663,-58.0369616445293 -34.9344834940025,-58.0369597322365 -34.9344452481459,-58.0369100126229 -34.9343936162394,-58.0368641175949 -34.9343611072612,-58.0362923420381 -34.93390789386,-58.0360972881692 -34.9337300506266,-58.0359385678641 -34.9335751549072,-58.0356742497693 -34.9333791904227,-58.0354603912617 -34.9332885286859,-58.0354177160828 -34.9332603812274,-58.0353786728339 -34.9332549333322,-58.0352787947555 -34.9332567492973,-58.0351689288692 -34.9332576572798,-58.035062694913 -34.9332522093846,-58.0349537370093 -34.9332286018388,-58.0348502270007 -34.9331850186773,-58.0347812203283 -34.9331378035857,-58.0346922380403 -34.9331051162146,-58.0345723843461 -34.9330742448085,-58.0344252911761 -34.9330025141885,-58.0342909097614 -34.9329407713764,-58.034161976242 -34.9328445252281,-58.0341002334298 -34.9327718866256,-58.0340602821985 -34.9326756404772,-58.0340239628972 -34.9326193455603,-58.0339785637707 -34.9325485229229,-58.033958588155 -34.9324867801107,-58.0339304406965 -34.9324422889667,-58.0338877655175 -34.9324241293161,-58.033815126915 -34.9324259452811,-58.0337660958583 -34.9324250372986,-58.0337225126968 -34.9324186814209,-58.0336743896227 -34.932379638172,-58.0336162787407 -34.9323097235171,-58.0335563518936 -34.9322779441285,-58.0334946090815 -34.9322334529845,-58.0334419460946 -34.9321708021898,-58.0334310503043 -34.9321054274476,-58.0334401301296 -34.9319964695438,-58.0334401301296 -34.9319419905919,-58.0334301423217 -34.9319124811597,-58.0334128906536 -34.9318911435702,-58.0333847431952 -34.9318743458934,-58.0333620436319 -34.931870259972,-58.0332771472652 -34.9318811557623,-58.0331936128723 -34.9318811557623,-58.033097366724 -34.9318375726008,-58.0330047525058 -34.9317958054044,-58.0329212181129 -34.9317485903128,-58.0327995484537 -34.9317249827669,-58.0305463898023 -34.9303557451098,-58.0294277553237 -34.9293460685349))","101","94789",Buenos Aires,La Plata,José Melchor Romero
"MULTILINESTRING ((-57.9808394330756 -34.9723125866653,-57.9797635306274 -34.9714624909038,-57.978627855821 -34.9705791882766,-57.9777345911341 -34.9696826029031,-57.9773693156115 -34.9693505342462,-57.9762860796179 -34.9689392137389,-57.9757854750711 -34.9687435549196,-57.9753624289751 -34.9686272172432,-57.9751015505493 -34.9684474226524,-57.9748829767331 -34.9682041711473,-57.9728981854664 -34.9663991744714,-57.9717101310137 -34.9672311651267,-57.9709415972728 -34.9665190375319,-57.9707935311392 -34.9664132760079,-57.9705144163029 -34.9663092638699,-57.9702041754695 -34.9662190519963,-57.9700325528808 -34.9661684453356,-57.9697047097307 -34.9660936354892,-57.9693240596302 -34.9660144250637,-57.9689376468665 -34.9659446707283,-57.9679180745769 -34.9657267371987,-57.967403206811 -34.965632124746,-57.967046759896 -34.9655600652617,-57.9669725001221 -34.9655490638137,-57.9668921895518 -34.9655402626553,-57.9668432331082 -34.9655298112797,-57.9668228804294 -34.9655221102661,-57.966800327461 -34.9655100086733,-57.966387223089 -34.9651479235163,-57.9662354031067 -34.9650076550544,-57.9661935976043 -34.9649812515792,-57.9661605932603 -34.9649669496968,-57.9661253886268 -34.9649636492624,-57.9660681810972 -34.964965849552,-57.9659691680653 -34.9649691499864,-57.9659174612597 -34.9649724504208,-57.965855853151 -34.9649597987557,-57.965809096997 -34.9649372457873,-57.9657936949699 -34.9649200560248,-57.9655621144897 -34.9651125813647,-57.9655093075393 -34.9651631880254,-57.96546343714 -34.9652333259078,-57.9654212959554 -34.9653375609761,-57.965423496245 -34.965365064596,-57.9654322974034 -34.9653848672024,-57.9654576007338 -34.9654398744424,-57.9658437515582 -34.965808285432,-57.9658459518478 -34.965822037242,-57.9658415512686 -34.9658418398484,-57.9658327501103 -34.9658572418756,-57.9658019460559 -34.9658786946991,-57.9656545266528 -34.9659777077311,-57.965412494797 -34.9661377787993,-57.9651352583076 -34.9663446060216,-57.9657997457663 -34.9669700383399,-57.9658899576398 -34.9670426478966,-57.9659075599566 -34.9671152574533,-57.9661605932604 -34.9674144968387),(-57.9607376569334 -34.958618075257,-57.9609173031478 -34.9587717592969,-57.9609965135733 -34.9588355676952,-57.9610889257364 -34.9588993760935,-57.9611659358724 -34.9589587839127,-57.9611967399267 -34.9589934384739,-57.9612385454291 -34.9590682483202,-57.9612429460083 -34.9591210552706,-57.9612209431123 -34.9591958651169,-57.9612077413747 -34.9592618738049,-57.9612556840381 -34.9593287021826,-57.9624146002194 -34.9602088234407,-57.9625730210704 -34.9603174627396,-57.9629140659582 -34.9605281404686,-57.9632155056331 -34.9607170903379,-57.9633090179411 -34.960793000329,-57.9634366347377 -34.9608977891211,-57.9638315867206 -34.9612363586831,-57.9641726316084 -34.9615174456792,-57.9643156504322 -34.9616538636343,-57.9644916736001 -34.961837862852,-57.9646423934376 -34.9620191117076,-57.9648126661777 -34.9622587335306,-57.9651187561356 -34.9626767232613,-57.9651748635204 -34.962824967773,-57.9652573743803 -34.9631115554931,-57.9653484302337 -34.9633268088111,-57.9654447301442 -34.9638249117963,-57.9655291101457 -34.9642548809756,-57.9655941610398 -34.9645089732294,-57.9656160215848 -34.9646047270217,-57.9656358241912 -34.9647397697958,-57.9656545266528 -34.9647815752982,-57.9656765295488 -34.9648178800766,-57.9657936949699 -34.9649200560248))","102","110639",Buenos Aires,La Plata,Los Hornos
"MULTILINESTRING ((-57.9109805686772 -34.9529150394481,-57.9109732405709 -34.9527916829917,-57.9110013316451 -34.952730615439,-57.9110306440704 -34.9526573343757,-57.9110257586662 -34.9525669543978,-57.9110062170493 -34.952481459824,-57.9107277490091 -34.9517828470213,-57.9106715668606 -34.9516729254264,-57.9106056139037 -34.9515898735548,-57.9105176766279 -34.9515581184274,-57.910429739352 -34.9515361341084,-57.9102880626298 -34.9515239205979,-57.9101268442907 -34.9514823946621,-57.9100120372916 -34.9514652957473,-57.909953412441 -34.9514286552157,-57.9096431892734 -34.951072020708,-57.90943067419 -34.9508888180499,-57.9092010601919 -34.9506469905413,-57.9090154148318 -34.9505053138191,-57.9088126705569 -34.9503465381821,-57.9086441241114 -34.9502146322683,-57.9082813828485 -34.9498787607285,-57.908020013723 -34.9496430399752,-57.90796263828 -34.9495887714951,-57.9079206547515 -34.9494866115759,-57.907908059693 -34.9494054434209,-57.9078926657326 -34.9493550631867,-57.9078765720467 -34.9492899887176,-57.9078779714976 -34.9492165175428,-57.9078912662816 -34.9491731345634,-57.907908059693 -34.9491206551528,-57.9079045610656 -34.9490695751932,-57.9078926657326 -34.9490415861742,-57.9078450844003 -34.9489576191173,-57.9077527206377 -34.9488736520604,-57.9076323678561 -34.9487868861016,-57.9075064172707 -34.9486889245352,-57.9074140535081 -34.9485629739498,-57.9073776677835 -34.9484510178739,-57.9073524776664 -34.9483166705829,-57.9073580754702 -34.9482187090165,-57.9073468798626 -34.9480647694121,-57.9073608743721 -34.9479164276116,-57.9074112546062 -34.9477988737319,-57.9075204117802 -34.9476225429124,-57.9076239711504 -34.9474350164853,-57.907663155777 -34.9473034680961,-57.9076491612675 -34.9470487680235,-57.9076043788371 -34.9469508064571,-57.9075456018973 -34.9468976273211,-57.9075148139764 -34.9468206575189,-57.9075218112312 -34.9467296932072,-57.9075693925634 -34.9466233349351,-57.907636566209 -34.9465085799574,-57.9076701530317 -34.9463294502359,-57.9076505607185 -34.9460999402804,-57.9075945826805 -34.9458256478945,-57.9074910233103 -34.9453694268852,-57.9073804666854 -34.9450475531671,-57.9073188908436 -34.9447802580359,-57.9073076952361 -34.9446389134901,-57.9072293259829 -34.9444150013383,-57.9072461193943 -34.9441910891865,-57.9073468798626 -34.9439111989968,-57.9073847908613 -34.9437093313852,-57.9073418329858 -34.9435136343971,-57.9070029430797 -34.9431699713937,-57.9065638181308 -34.9423299062742,-57.9060244581393 -34.9419480584926,-57.9055757869959 -34.9418430503526,-57.9051604411425 -34.9419069148261,-57.9049076368592 -34.9418735984157,-57.9048096752928 -34.9418568050043,-57.9047397027454 -34.941838612142,-57.9046753280018 -34.9418078242212,-57.9046249477676 -34.941758843438,-57.9045646180215 -34.9416078957897,-57.9044640109085 -34.941267636155,-57.9044066334196 -34.9410801097279,-57.9042789174881 -34.9408670676623,-57.9038986327253 -34.9404531557029,-57.9035823568109 -34.9401564721019,-57.9034052053916 -34.9400132881611,-57.9032073039567 -34.9397800197967,-57.9030463670976 -34.9395715016054,-57.9028504439648 -34.9393811762763,-57.9026506750905 -34.9392374953452,-57.902520173541 -34.9391348729094,-57.9022164926851 -34.9387738145647,-57.9018903281444 -34.9382891186628,-57.9009851440787 -34.937383167753,-57.9007774249037 -34.9371363502313,-57.9006211186038 -34.9368397733538,-57.9005735372715 -34.936643850221,-57.9004950464694 -34.9364486756914,-57.9004014048049 -34.9363037836405,-57.900262859161 -34.9361820314079,-57.9001984844173 -34.9361456456833,-57.9000473437149 -34.9360840698415,-57.8993754990302 -34.9358972072199,-57.898902592839 -34.9356880252231,-57.8984239806146 -34.9355228900112,-57.8981776772476 -34.9354697108751,-57.8979425694883 -34.9354249284448,-57.897732651846 -34.9354137328372,-57.8974975440866 -34.9354389229543,-57.8972008604855 -34.9355144933055,-57.8969853450394 -34.9355704713434,-57.896915372492 -34.9355900636567,-57.8968258076313 -34.9356054576171,-57.8967278460649 -34.9355970609114,-57.8966228872438 -34.9355704713434,-57.8964745454432 -34.9354697108751,-57.8962478343896 -34.9353297657803,-57.8959665447489 -34.9351814239797,-57.8958265996541 -34.9350666690019,-57.8956866545592 -34.9349127293976,-57.8955998886004 -34.9348007733217,-57.8955635028757 -34.9346776216382,-57.8955271171511 -34.9345712633662,-57.8954795358188 -34.9344788996035,-57.8953591830372 -34.9343221610973,-57.895283612686 -34.9341766181987,-57.8951296730817 -34.9340478687114,-57.8949785323792 -34.9338715378919,-57.8949449455565 -34.9337539840122,-57.8949281521451 -34.933622435623,-57.8949449455565 -34.9334740938225,-57.8949785323792 -34.9333873278637,-57.8950541027304 -34.9332753717878))","103","122729",Buenos Aires,La Plata,Villa Elvira
"MULTILINESTRING ((-58.7520968283572 -34.4229813747927,-58.7521841760573 -34.4229788791441,-58.7522565498659 -34.4229763834955,-58.7523264280259 -34.4229763834955,-58.7524362365631 -34.4229264705241,-58.7525210886146 -34.4228965227412,-58.7526284015032 -34.4228565923641,-58.7527057666089 -34.4228166619869,-58.7527681578233 -34.4227318099354,-58.752845522929 -34.4226594361268,-58.7529253836833 -34.4226195057497,-58.7530277052748 -34.4225745840754,-58.7530925921377 -34.422512192861,-58.7531774441892 -34.4224373234039,-58.7532433122396 -34.4223686851516,-58.7532972353207 -34.4222975670838,-58.753359626535 -34.4222351758695,-58.753412035155 -34.4221777759523,-58.7534669394236 -34.422115384738,-58.7535118610979 -34.4220729587122,-58.7535567827722 -34.4220155587951,-58.7536141826894 -34.4219506719322,-58.7536441304722 -34.4218982633122,-58.7536840608494 -34.4218333764493,-58.7536965390923 -34.4217585069921,-58.7537689129009 -34.4215538638091,-58.7538587562495 -34.4214315770291,-58.7539635734895 -34.4213192728433,-58.7540459298924 -34.4212194469004,-58.7541033298096 -34.4211271079032,-58.7541482514839 -34.4210497427975,-58.7541856862125 -34.4208475952631,-58.7541906775097 -34.4206229868915,-58.7541557384296 -34.4204033698172,-58.7541607297268 -34.4203135264685,-58.7542405904811 -34.4202311700656,-58.7543129642897 -34.4201488136627,-58.7543703642069 -34.4200864224484,-58.7544352510698 -34.4200115529912,-58.7544876596898 -34.4199267009398,-58.7544901553384 -34.419849335834,-58.7545225987698 -34.4197545011883,-58.754597468227 -34.4196696491368,-58.7546723376842 -34.4195773101396,-58.7547521984385 -34.419487466791,-58.7548245722471 -34.4193876408481,-58.7549094242986 -34.4192977974995,-58.7549743111615 -34.4192004672051,-58.7550317110786 -34.4191131195051,-58.7550941022929 -34.4190307631022,-58.7551689717501 -34.4189459110507,-58.7552263716673 -34.4188635546478,-58.7552962498273 -34.4187637287049,-58.7553536497445 -34.4186838679506,-58.7554260235531 -34.4185965202506,-58.7554934060646 -34.4185066769019,-58.7555807537646 -34.4184143379048,-58.7577333244254 -34.4156158972688,-58.7577655854121 -34.4155617448982,-58.7578013029331 -34.4154453749104))","104","87363",Buenos Aires,Escobar,Garín
"MULTILINESTRING ((-58.7737091862809 -34.4401309726124,-58.7726964777734 -34.4395971816281,-58.7726214483548 -34.4395535281482,-58.7725668815049 -34.4395207880383,-58.772534141395 -34.4394921404421,-58.7725082221413 -34.4394662211884,-58.7724904879151 -34.4394280243935,-58.7724986729426 -34.4393775500573,-58.7725198175969 -34.4392909251831,-58.7725409622512 -34.4392356762476,-58.7726083799175 -34.4390977596223,-58.7728739253122 -34.4387259960697,-58.7730191042734 -34.4386511288681,-58.7731350588294 -34.4385297176271,-58.7732742042967 -34.4383701095912,-58.7734379048463 -34.4381954956715))","105","139379",Buenos Aires,Pilar,Manuel Alberti
"MULTILINESTRING ((-60.5543792920003 -33.8813815919507,-60.5543397957276 -33.8811110424828,-60.5543022742686 -33.8809846544103,-60.5542533976312 -33.8808933192797,-60.5542366117153 -33.8808597474479,-60.5542237754266 -33.8808143267344,-60.5542198257994 -33.8807758178685,-60.5542385865289 -33.8807136112391,-60.5542405613425 -33.8806262257358,-60.5542371054187 -33.8805822861324,-60.5542252565369 -33.8805432835632,-60.5542173572823 -33.8805018124769,-60.5542055084005 -33.8804702154587,-60.5541897098915 -33.8804504673224,-60.5541571254665 -33.8804277569656,-60.5541136795666 -33.8804129458633,-60.5540722084803 -33.8804050466088,-60.5540050648167 -33.8804080088293,-60.5539586566963 -33.8804109710497,-60.5539345526782 -33.880403418563,-60.5537710494011 -33.8802016408046,-60.5537058805512 -33.8801147490047,-60.5536505857695 -33.8800515549684,-60.5535893665468 -33.8800140335093,-60.5535360465787 -33.8799982350003,-60.5534689029152 -33.879972562423,-60.5534175577607 -33.8799212172686,-60.5533412194945 -33.8797804133058,-60.5532339000928 -33.8795381034236))","106","102280",Buenos Aires,Pergamino,Pergamino
"MULTILINESTRING ((-58.9101298735708 -34.4832811365322,-58.9096956692149 -34.4830865750175,-58.9096553332911 -34.4830462390937,-58.9096458424855 -34.4830035304685,-58.9106989415902 -34.4815188862881,-58.9109876051265 -34.4811207919086,-58.9110872585853 -34.4809950387344,-58.911088444936 -34.4809665663177,-58.9110742087276 -34.4809392802516,-58.9110492953629 -34.4809214849911,-58.9109093059804 -34.4808835217687,-58.9091036802159 -34.4799569818725))","107","140574",Buenos Aires,Pilar,Pilar
"MULTILINESTRING ((-59.1262274963577 -37.2881933702044,-59.1261460365616 -37.2880691774004,-59.1260899494888 -37.2879716927263,-59.1260645767654 -37.2878595185807,-59.1260565643264 -37.2876859157364,-59.1260378686355 -37.2874642382582,-59.1260485518874 -37.2873761014295,-59.1260645767654 -37.2872879646009,-59.1261206638381 -37.2871891445202,-59.1262435212357 -37.2870021876109,-59.1263450121293 -37.2868259139536,-59.1264785527788 -37.2866175905404,-59.1265800436724 -37.2863852298103,-59.1266147642413 -37.2863131178595,-59.1266307891192 -37.2862196394049,-59.1266254474932 -37.2860620614385,-59.1266201058673 -37.28592050835,-59.1265960685503 -37.2857842968875,-59.1265331772635 -37.285371847053))","108","130823",Buenos Aires,Tandil,Tandil
"MULTILINESTRING ((-62.7017325907946 -31.885941951098,-62.7017939463258 -31.8862215097741))","778","7512",Córdoba,San Justo,Las Varillas
"MULTILINESTRING ((-58.9687614142446 -34.6245735264603,-58.9686205603313 -34.6244710872506,-58.968511718671 -34.6243942578434,-58.9684060782361 -34.6242854161831,-58.9683484561807 -34.6241925806494,-58.968310041477 -34.6241253549181,-58.9682812304493 -34.6240357206096,-58.968246016971 -34.6239620924277,-58.9681787912397 -34.6238788605698,-58.9681147667336 -34.6238148360638,-58.9679835164963 -34.6237380066566,-58.9677882417529 -34.623625963771,-58.9675545523059 -34.6234819086324,-58.967375283689 -34.623328249818,-58.9672440334516 -34.6231969995806,-58.9671800089456 -34.6231457799758,-58.9670151458426 -34.6230513438294,-58.9668326760004 -34.6229729138095,-58.9667174318895 -34.6229264960426,-58.9666021877786 -34.6228432641848,-58.9664405259009 -34.622750428651,-58.9663476903672 -34.6226992090462,-58.9659539396551 -34.6224975318522,-58.9657362563346 -34.6223758852908,-58.9656370183502 -34.6223246656859,-58.9655217742394 -34.622283049757,-58.9654065301285 -34.6222158240257,-58.9653809203261 -34.6221534001323,-58.9653409050098 -34.6221005799148,-58.965284883567 -34.6220717688871,-58.9652288621243 -34.6220605645985,-58.9651760419068 -34.6220413572467,-58.9651008131122 -34.621980533966,-58.9646814525977 -34.621471539143,-58.964514988882 -34.6212474533719,-58.964450964376 -34.6211610202888,-58.9643485251663 -34.6210841908816,-58.9642204761543 -34.6209657455454,-58.9640508112133 -34.6207480622249,-58.9638395303434 -34.6205303789044,-58.9637114813313 -34.6203319029357))","109","8289",Buenos Aires,General Rodríguez,General Rodríguez
"MULTILINESTRING ((-55.9184310212731 -27.4137688504211,-55.9188078716397 -27.414400411447))","110","92296",Misiones,Capital,Posadas
"MULTILINESTRING ((-55.8767745432173 -27.4321179357634,-55.876305406203 -27.4319508366885,-55.8761998823287 -27.4319237788737,-55.8760229955707 -27.4319131180708,-55.8759172462721 -27.4318948100013,-55.8757993984581 -27.4318749095635,-55.875678770955 -27.4318265607081,-55.8753691144976 -27.4318341897588,-55.8752570858676 -27.4318534652118,-55.8750729123436 -27.4318753169067,-55.8749419585793 -27.4318487530768,-55.8748471899741 -27.4318165262372,-55.8746551916954 -27.4317298000218,-55.8745409320707 -27.4316884232219,-55.8744110961285 -27.4316773704943,-55.8742133704553 -27.4316804283682,-55.8739193242616 -27.4316546787043,-55.8735505592353 -27.4315703002661,-55.8734562104509 -27.4315462042483,-55.8734095000962 -27.4315186564561,-55.8733605494479 -27.4314897163643,-55.8733178734815 -27.4314528226615,-55.8732661259533 -27.4313999196304,-55.8731970173117 -27.4313288187665,-55.8731732757786 -27.4312785043153,-55.8731519999633 -27.4312208323299,-55.8731347538868 -27.4311834445309))","111","127532",Misiones,Capital,Posadas
"MULTILINESTRING ((-55.1093129189972 -27.5160558348728,-55.1091055807113 -27.5159405327659,-55.1089467672084 -27.5158598496282,-55.1088181621604 -27.5157515799941,-55.1087232586899 -27.5157031098862,-55.1086234915941 -27.5156501243966,-55.1085356025396 -27.5155970400207,-55.1084605020647 -27.5155085413781,-55.1084029282397 -27.5154683026832))","112","139160",Misiones,Oberá,Oberá
"MULTILINESTRING ((-55.9418078856139 -27.4087648894314,-55.9418831389568 -27.4087113720573,-55.9419256958854 -27.4086584205756,-55.941950621546 -27.4085776445333,-55.9419770805736 -27.4085420917676,-55.9419933421163 -27.4084973893545,-55.9420270255567 -27.408460705698,-55.9420779738672 -27.4084171864559,-55.9421065051202 -27.4083780028346,-55.9421198982756 -27.4083329227473,-55.9421409646139 -27.4083042069515,-55.9421607652184 -27.408301934091,-55.9421827956271 -27.4083073716195,-55.9422197639906 -27.4083247298382,-55.9422728605512 -27.4084701674107,-55.9422948869596 -27.4085857508664,-55.9423367849123 -27.4086701190589,-55.9423895740314 -27.4087436897026,-55.9424448651396 -27.4087829778709,-55.9424653124523 -27.4088062285277,-55.9425228851561 -27.4088616916088,-55.9426018842778 -27.4089474453491,-55.9426348676786 -27.4089871650361,-55.9426721283355 -27.4090036507915,-55.942691458817 -27.4090353422499,-55.9426848145819 -27.4090628335741,-55.9426519752365 -27.4091365819945,-55.9426710809152 -27.4092468357353,-55.9426959299821 -27.4093156869181,-55.942717803772 -27.4093883101858,-55.9427334041341 -27.4094949793747,-55.942787355813 -27.4096072176225,-55.9427878571923 -27.4097972566079,-55.942899235183 -27.4101623589673,-55.943032821067 -27.4102804935733,-55.943102317743 -27.4103444218525,-55.9431647765121 -27.41040573208,-55.9431959306897 -27.4104078815188,-55.9432259931052 -27.4104279735873,-55.943313177801 -27.4104965723846,-55.9433600095081 -27.4105824767343,-55.9434366129279 -27.4107570519657,-55.9434887976184 -27.4109588370894))","113","120203",Misiones,Capital,Posadas
"MULTILINESTRING ((-55.9068342062026 -27.3809648767884,-55.9061867889843 -27.381018508984,-55.9059361861656 -27.3810102087632,-55.90584807613 -27.3809642383098,-55.9057880591492 -27.3809297604698,-55.9057459195669 -27.3809220987276,-55.9056897334573 -27.3809310374268,-55.9056450399609 -27.3809552996106,-55.9055900784284 -27.3809466345912,-55.9055569299253 -27.3809335913409,-55.9054771767336 -27.3808958394723,-55.9053411241859 -27.3808467582623))","114","93284",Misiones,Capital,Posadas
"MULTILINESTRING ((-55.1128260695308 -27.5109346470468,-55.1126291998211 -27.5114192773578,-55.1125452031699 -27.5116000248411,-55.1122003818167 -27.5122270511777))","115","138878",Misiones,Oberá,Oberá
"MULTILINESTRING ((-55.9190347109714 -27.4149499001193,-55.9197609328944 -27.4148232948445))","116","93256",Misiones,Capital,Posadas
"MULTILINESTRING ((-55.9183692092147 -27.4206699559605,-55.9181443267791 -27.4206660390959,-55.9180016115074 -27.4206637900232,-55.917793685196 -27.4206248099301,-55.917657007378 -27.4205959119478,-55.9175214001178 -27.4206104313595,-55.9173179981705 -27.4205752133624,-55.9172318847611 -27.4205473417012,-55.9171429664382 -27.4205433778866,-55.9170662556286 -27.4205565019723))","117","127528",Misiones,Capital,Posadas
"MULTILINESTRING ((-55.1135144874377 -27.4757988812648,-55.1136631349335 -27.4757246485638,-55.1137664999863 -27.475684582097,-55.1138333951309 -27.4756597793981,-55.1139105329598 -27.4756413397471,-55.1140132753737 -27.4756523492462,-55.1141200601404 -27.475688215649,-55.1142843091295 -27.475742174779,-55.1145758808491 -27.4758359561659,-55.1147077591294 -27.4758941826999))","118","138356",Misiones,Oberá,Oberá
"MULTILINESTRING ((-55.1325571584111 -27.4944442601604,-55.1325614295378 -27.4944711798325,-55.1325738725093 -27.4945048894377,-55.1326070941649 -27.4945693069188,-55.1326364267797 -27.4945981108975,-55.1326581904671 -27.4946145155786,-55.1327123792015 -27.4946688619276,-55.132746227199 -27.4946850743669,-55.1327796357386 -27.4947183344738,-55.1327905436292 -27.4947924675607,-55.132832755652 -27.4948571765701,-55.1328832660105 -27.4949251152961))","119","138782",Misiones,Oberá,Oberá
