WKT,id,id_poligon,provincia,departamen,localidad
"MULTIPOLYGON (((-65.3768339891956 -24.8557205136013,-65.3824276928269 -24.8551451625516,-65.3855076804757 -24.855081997844,-65.3854513412828 -24.8547384332261,-65.3855215537938 -24.8543714208054,-65.3862035127895 -24.8541786932631,-65.3857884073138 -24.8503537928087,-65.3882049141901 -24.8502055408531,-65.3881159630167 -24.8488119724704,-65.3854233018891 -24.8490980268165,-65.3854152736376 -24.8490308188818,-65.3783906964214 -24.8497149516194,-65.3775011229959 -24.8497904353774,-65.3775604237781 -24.8502944920264,-65.3784795859028 -24.8503686180042,-65.378776089814 -24.8534670838762,-65.3770711923246 -24.8536449862229,-65.3767153876312 -24.8548161766722,-65.3768339891956 -24.8557205136013)))","91","11528",Salta,Capital,Salta Capital
"MULTIPOLYGON (((-64.2927418489776 -23.1529323941352,-64.2962320894003 -23.1520795552673,-64.2961852846279 -23.1519017517937,-64.2962394654751 -23.1518868835688,-64.2956260390667 -23.1496095421437,-64.292679526191 -23.1501413517847,-64.2923920615202 -23.1506587881921,-64.2927418489776 -23.1529323941352)))","92","14400",Salta,Orán,San Ramón De La Nueva Orán
"MULTIPOLYGON (((-65.1437231108086 -28.6415264430835,-65.1436475175911 -28.6414292518039,-65.1431507621624 -28.6412078716672,-65.1429671786344 -28.6411268789343,-65.1429509800878 -28.6413644576176,-65.1426567064915 -28.6414130532573,-65.1428348905039 -28.6417964188599,-65.1434693335787 -28.6419044091705,-65.1437555079017 -28.6417748207978,-65.1437231108086 -28.6415264430835)))","93","15740",Santiago del Estero,Choya,Frías
"MULTIPOLYGON (((-64.2894802987576 -27.7770595353704,-64.289737790823 -27.7767246266383,-64.2889544117619 -27.7762803639023,-64.2886715287859 -27.7765358711064,-64.2894802987576 -27.7770595353704)))","94","13425",Santiago del Estero,Capital,Santiago Del Estero
"MULTIPOLYGON (((-64.2907460039432 -27.7750058696341,-64.2908202332811 -27.7748548874075,-64.2906971802904 -27.7748021504115,-64.2905038113051 -27.7749879855403,-64.2898835237805 -27.7748247519812,-64.289775684918 -27.7752461680761,-64.2901589457242 -27.7754590907462,-64.2903857808854 -27.7755731150675,-64.2905213903037 -27.7753395655137,-64.2907460039432 -27.7750058696341)))","95","13427",Santiago del Estero,Capital,Santiago Del Estero
"MULTIPOLYGON (((-64.2911970736802 -27.6974154161407,-64.2926757104528 -27.6950432715857,-64.2914738238782 -27.6945688426747,-64.289939837066 -27.6968302871505,-64.2911970736802 -27.6974154161407)))","96","18446",Santiago del Estero,Banda,La Banda
"MULTIPOLYGON (((-65.1110498338348 -28.6373271576503,-65.1105295420868 -28.6374415786571,-65.1105899909206 -28.6377092806353,-65.1111120449505 -28.6376050339671,-65.1110498338348 -28.6373271576503)))","97","15867",Santiago del Estero,Choya,Frías
"MULTIPOLYGON (((-65.1468926342135 -28.6319530352882,-65.1466309789616 -28.6308728568564,-65.1422475593784 -28.6315960769889,-65.142518819789 -28.632715309472,-65.1468926342135 -28.6319530352882)))","98","15719",Santiago del Estero,Choya,Frías
"MULTIPOLYGON (((-65.1426223990812 -28.6336202113839,-65.1424107248961 -28.6326368083989,-65.1418198011294 -28.6327161862184,-65.142013835799 -28.6337260484765,-65.1426223990812 -28.6336202113839)))","99","15720",Santiago del Estero,Choya,Frías
"MULTIPOLYGON (((-64.2239879070599 -27.8101119242469,-64.224244253212 -27.809737470967,-64.2238805369438 -27.8097441815993,-64.2234483722266 -27.8097978666573,-64.2236255329181 -27.8099065788998,-64.2239879070599 -27.8101119242469)))","100","12722",Santiago del Estero,Capital,Santiago Del Estero
"MULTIPOLYGON (((-64.2191713720263 -27.7170061160031,-64.2192785582882 -27.7168667738626,-64.2155377577471 -27.7145059964437,-64.2153073072839 -27.7147739620985,-64.2191713720263 -27.7170061160031)))","101","11680",Santiago del Estero,Banda,La Banda
"MULTIPOLYGON (((-62.394897548419 -27.6440006268739,-62.3939311128781 -27.6444838446443,-62.3944442644927 -27.6451979806413,-62.3953893187163 -27.6447019340806,-62.394897548419 -27.6440006268739)))","102","19292",Santiago del Estero,Moreno,Quimili
"MULTIPOLYGON (((-62.4004392167595 -27.6397743345403,-62.4000123383841 -27.63926311326,-62.3998987336551 -27.6391288531259,-62.3993513654157 -27.6394249139346,-62.3998057843315 -27.6401185912946,-62.4004392167595 -27.6397743345403)))","103","19289",Santiago del Estero,Moreno,Quimili
"MULTIPOLYGON (((-64.2542157395494 -27.8287862625746,-64.2536195560737 -27.8290296027687,-64.2542096560445 -27.8291756068852,-64.2542157395494 -27.8287862625746)))","104","11293",Santiago del Estero,Capital,Santiago Del Estero
"MULTIPOLYGON (((-65.1331706130252 -28.6501481409609,-65.1325055175001 -28.6501872642271,-65.1320314355686 -28.6502240861247,-65.1324318737048 -28.6522124685942,-65.1327310516227 -28.6519984413145,-65.1329105583734 -28.6517130716082,-65.1331821198682 -28.6513080307348,-65.1333719827775 -28.6514254005333,-65.1334369442084 -28.6510692625102,-65.1331706130252 -28.6501481409609)))","105","15858",Santiago del Estero,Choya,Frías
"MULTIPOLYGON (((-62.9432468043405 -28.5966844559889,-62.9433482487935 -28.5965153819006,-62.9433872658908 -28.5961798348636,-62.9435642436147 -28.5958809185716,-62.9438762801772 -28.5954203020358,-62.9437254140676 -28.5950093219441,-62.9434184795687 -28.5949260854698,-62.9429970949176 -28.5955815727048,-62.9427681946134 -28.595534752188,-62.9426017216648 -28.5957844616108,-62.9423884281995 -28.5960965983894,-62.9432468043405 -28.5966844559889)))","106","233",Santiago del Estero,Avellaneda,Colonia Dora
"MULTIPOLYGON (((-62.7000580553274 -27.0390340551213,-62.6990694925189 -27.0396118483405,-62.6996887475252 -27.0405077285018,-62.7000981196761 -27.0414307762163,-62.7002976089716 -27.0416947587026,-62.7007653191686 -27.0414621316346,-62.7010214135206 -27.0393481936626,-62.7004559641463 -27.0395157342179,-62.7000580553274 -27.0390340551213)))","107","237",Santiago del Estero,Moreno,Tintina
"MULTIPOLYGON (((-64.8779525980353 -27.4861373364719,-64.8771382123232 -27.4854606788571,-64.8761950805783 -27.4864573717682,-64.8769320175052 -27.4871203415558,-64.8779525980353 -27.4861373364719)))","108","617",Santiago del Estero,Río Hondo,Termas De Río Hondo
"MULTIPOLYGON (((-64.873914934174 -27.490285431343,-64.8725958275363 -27.4915017473609,-64.8734910021463 -27.4922264125214,-64.8739697402161 -27.4926330119779,-64.8753108626172 -27.4914066555525,-64.8741766084489 -27.4904474773389,-64.8740001583645 -27.4903130391793,-64.873914934174 -27.490285431343)))","109","619",Santiago del Estero,Río Hondo,Termas De Río Hondo
"MULTIPOLYGON (((-64.8745173378713 -27.4896572941809,-64.8739959724391 -27.4902016128083,-64.8746239062773 -27.4907295362962,-64.8752190498367 -27.490155706418,-64.8745173378713 -27.4896572941809)))","110","618",Santiago del Estero,Río Hondo,Termas De Río Hondo
"MULTIPOLYGON (((-64.2478041350842 -27.7278551750624,-64.2496587226457 -27.7262288253375,-64.2492837958067 -27.7258208860724,-64.2473690750942 -27.7274667913154,-64.2474253509146 -27.7275406785426,-64.2470210615683 -27.7278636667714,-64.2472889643659 -27.7280218267647,-64.2476290388141 -27.7277097963165,-64.2478041350842 -27.7278551750624)))","111","12029",Santiago del Estero,Banda,La Banda
"MULTIPOLYGON (((-65.1722687110305 -26.8157027680053,-65.1719067932826 -26.815760338122,-65.1721274802679 -26.8166725109947,-65.1724903877549 -26.816701935926,-65.1722687110305 -26.8157027680053)))","112","18684",Tucumán,Capital,San Miguel De Tucumán
"MULTIPOLYGON (((-65.269854752401 -26.8595250669304,-65.2695556728095 -26.8595604127003,-65.2696101626579 -26.8597917519202,-65.2698928170763 -26.8597507360767,-65.269854752401 -26.8595250669304)))","113","14518",Tucumán,Capital,San Miguel De Tucumán
"MULTIPOLYGON (((-65.2025971103355 -26.8799226765825,-65.2029048843669 -26.8793595155888,-65.2032846906185 -26.8791827092303,-65.2031537229455 -26.8788029029787,-65.2028328521468 -26.8787374191422,-65.2026036587191 -26.8786391933875,-65.2024792394298 -26.8780629356265,-65.2021190783292 -26.8776831293749,-65.201955368738 -26.8775849036202,-65.2017654656122 -26.8775652584693,-65.2015771995823 -26.8774506617555,-65.2009158128339 -26.8775947261957,-65.2007013532694 -26.8782364677932,-65.2014314980462 -26.8790648383246,-65.2010189498763 -26.8792481930668,-65.2010582401782 -26.8793464188215,-65.2017392720776 -26.879745870224,-65.2017261753103 -26.8800339991045,-65.2023286266059 -26.8801518700102,-65.2025971103355 -26.8799226765825)))","114","18532",Tucumán,Capital,San Miguel De Tucumán
"MULTIPOLYGON (((-65.1970430055404 -26.8709402968268,-65.1980434136865 -26.8707256169671,-65.1979027983784 -26.870225412894,-65.1981045974465 -26.8700622562007,-65.1980552210788 -26.8698454295424,-65.1978512752121 -26.8697960531747,-65.1974111814997 -26.8693924550384,-65.1977052929075 -26.8690103248882,-65.1971557124667 -26.8683662853091,-65.1966361872062 -26.8687913514313,-65.1966061320259 -26.8689545081247,-65.1966901527844 -26.8697418977786,-65.1964515625269 -26.8711249215062,-65.196973234586 -26.8711764446725,-65.1969753813846 -26.8710519303539,-65.1970430055404 -26.8709402968268)))","115","18531",Tucumán,Capital,San Miguel De Tucumán
"MULTIPOLYGON (((-65.1638382162013 -26.8167342783909,-65.1636563034221 -26.816842442746,-65.163597304683 -26.8170341886484,-65.1636858027917 -26.8171767689347,-65.1637202187229 -26.8173930976451,-65.1637890505853 -26.817442263261,-65.1640791277196 -26.8176192594786,-65.1643347889227 -26.8176684250946,-65.1645904501259 -26.8176438422866,-65.1645757004411 -26.8173144326595,-65.1646838647962 -26.8170587714564,-65.1645462010715 -26.8168227764996,-65.1642659570604 -26.8168866918004,-65.1640889608428 -26.8165916981045,-65.1638677155709 -26.8165818649813,-65.1638382162013 -26.8167342783909)))","116","19265",Tucumán,Capital,San Miguel De Tucumán
"MULTIPOLYGON (((-65.3938564249964 -27.0616487091983,-65.3941305267113 -27.0615938888553,-65.3943526933645 -27.0614842481693,-65.3943526933645 -27.0611120468932,-65.3944392518008 -27.06098509452,-65.3942141998664 -27.0604945967143,-65.3939660656824 -27.0607917806789,-65.3937496695916 -27.060751386742,-65.3936400289057 -27.0606936811178,-65.3936256024996 -27.0607542720232,-65.3936284877808 -27.0615563801996,-65.3938564249964 -27.0616487091983)))","117","17642",Tucumán,Famaillá,Famaillá
"MULTIPOLYGON (((-65.1646892566279 -26.8246592624574,-65.1638808071231 -26.8249624310216,-65.1638808071231 -26.8252209468517,-65.1641927254377 -26.825296828223,-65.1648777617448 -26.825824877043,-65.1659179106355 -26.8267470855417,-65.1664191586606 -26.8265597411802,-65.1659442334755 -26.8259306903123,-65.165775023114 -26.8258719367145,-65.1655588098743 -26.8257661802386,-65.1653496470664 -26.8256251716041,-65.1651921874245 -26.82547241225,-65.1649759741848 -26.825265599586,-65.1649054698676 -26.8251151903758,-65.1648349655503 -26.8248801759848,-65.1646892566279 -26.8246592624574)))","118","14557",Tucumán,Cruz Alta,Alderetes
"MULTIPOLYGON (((-65.1591844371161 -26.8180976598398,-65.1584062057576 -26.818410556984,-65.1588795629756 -26.8192930873905,-65.1595615182898 -26.8190042592575,-65.1591844371161 -26.8180976598398)))","119","18859",Tucumán,Cruz Alta,Alderetes
"MULTIPOLYGON (((-65.2600155025721 -26.7556975243665,-65.2610062097605 -26.757224062598,-65.2613214030862 -26.7570953187197,-65.260448679328 -26.7555259797757,-65.2600155025721 -26.7556975243665)))","120","19262",Tucumán,Tafí Viejo,Tafí Viejo
"MULTIPOLYGON (((-65.241735476473 -26.8590694335875,-65.2398699535229 -26.8605595769196,-65.236832791159 -26.8630962331262,-65.2371200134426 -26.8634218465069,-65.2421336063708 -26.8593879375059,-65.241735476473 -26.8590694335875)))","121","18834",Tucumán,Lules,Barrio San Felipe
"MULTIPOLYGON (((-65.1570602380444 -26.8064067563067,-65.1569668324857 -26.8065502005575,-65.1568233882349 -26.8066502779419,-65.1570669098701 -26.806983869223,-65.1573237751565 -26.8073641632835,-65.1574672194074 -26.8073007809401,-65.1573638061103 -26.8071473289508,-65.1574205166281 -26.8069771973974,-65.1574772271459 -26.8068170735824,-65.1575239299252 -26.8067203321109,-65.1575306017508 -26.8066235906394,-65.1574905707971 -26.8065568723832,-65.1572770723772 -26.8064301076963,-65.1571870027313 -26.8064134281323,-65.1570602380444 -26.8064067563067)))","122","753",Tucumán,Cruz Alta,Alderetes
"MULTIPOLYGON (((-65.1992505183779 -26.8844919692634,-65.199751515648 -26.8844994468346,-65.1997739483616 -26.8839535841372,-65.1995944866529 -26.8838040327133,-65.1993120834231 -26.8837955258397,-65.1992505183779 -26.8844919692634)))","123","751",Tucumán,Cruz Alta,San Andrés
"MULTIPOLYGON (((-58.635391054001 -34.7155773583525,-58.6346889881922 -34.7162046970516,-58.6342507736597 -34.7165958611816,-58.6344814128873 -34.7167416251734,-58.6355903262936 -34.7157102065476,-58.635391054001 -34.7155773583525)))","124","15805",Buenos Aires,La Matanza,Rafael Castillo
"MULTIPOLYGON (((-58.6339048148184 -34.7167554635271,-58.6356180030009 -34.7179778514334,-58.6358271622907 -34.717794294526,-58.6341649758671 -34.7165598814621,-58.6339048148184 -34.7167554635271)))","125","15804",Buenos Aires,La Matanza,Rafael Castillo
"MULTIPOLYGON (((-58.332561047082 -34.6609300321351,-58.3324853581422 -34.6609300321351,-58.3322171459023 -34.6607974712386,-58.3318245354759 -34.6613958102259,-58.3317168242924 -34.6614714991656,-58.3313942420401 -34.6616371020576,-58.3314024240811 -34.6620653662314,-58.3318536466066 -34.6620799217967,-58.3322437357576 -34.6620624551183,-58.3321884246093 -34.6615588325576,-58.332563958195 -34.6611512767282,-58.332561047082 -34.6609300321351)))","126","18415",Buenos Aires,Avellaneda,Dock Sud
"MULTIPOLYGON (((-58.7448758699297 -34.4769163027265,-58.7447546654616 -34.47677928898,-58.7433490146798 -34.4773745485969,-58.743535 -34.477535,-58.7435957929444 -34.4776276545092,-58.7438406458231 -34.4777667108265,-58.7440086719639 -34.4777905914403,-58.7441866370585 -34.4777850547484,-58.7443440372977 -34.4778728508618,-58.744649270272 -34.4774221996367,-58.7443805125385 -34.4772324882953,-58.7448758699297 -34.4769163027265)))","127","23091",Buenos Aires,Malvinas Argentinas,Tierras Altas
"MULTIPOLYGON (((-58.4975817082522 -34.7778934599592,-58.4978749702975 -34.7780355792581,-58.4980216013201 -34.7781235578717,-58.4985314261066 -34.7775031958528,-58.4983396778462 -34.7774084496535,-58.4981208592432 -34.7773001682829,-58.4975817082522 -34.7778934599592)))","128","12724",Buenos Aires,Esteban Echeverría,Nueve De Abril
"MULTIPOLYGON (((-58.3748255535701 -34.8763614346857,-58.3740356188101 -34.8759708076066,-58.374539093712 -34.8751374698379,-58.3730981138202 -34.8743996186884,-58.3717730511668 -34.8760835244718,-58.3704114675762 -34.8779760266127,-58.3719199185101 -34.8788780737779,-58.3735116295903 -34.8768012697971,-58.3735495051116 -34.8767477214639,-58.3742620076709 -34.87710445286,-58.3748255535701 -34.8763614346857)))","129","15652",Buenos Aires,Almirante Brown,Glew
"MULTIPOLYGON (((-58.6377796779595 -34.8512388783205,-58.6377111051766 -34.8511875258853,-58.6374103971669 -34.851488233895,-58.6372859662663 -34.8518044957673,-58.6381932749162 -34.8526184812417,-58.6388528121813 -34.8519400365697,-58.6377796779595 -34.8512388783205)))","130","17013",Buenos Aires,La Matanza,Virrey Del Pino
"MULTIPOLYGON (((-58.7903685529904 -34.5067076164944,-58.7880015439572 -34.5093204749584,-58.7880799985118 -34.5094261014619,-58.7890613947984 -34.508379772196,-58.7904507284584 -34.5067467764991,-58.7903685529904 -34.5067076164944)))","131","15842",Buenos Aires,José C. Paz,José C. Paz
"MULTIPOLYGON (((-58.4714202940989 -34.7853588073606,-58.4713213142878 -34.7855083933909,-58.4736179435886 -34.7867720604528,-58.4737191560271 -34.7866023807766,-58.4714202940989 -34.7853588073606)))","132","15790",Buenos Aires,Esteban Echeverría,Monte Grande
"MULTIPOLYGON (((-58.5012336654934 -34.7601385987774,-58.5019656364544 -34.7591423049694,-58.5023858420061 -34.7587356544355,-58.5036261261344 -34.7569396145775,-58.5049816279141 -34.7549605819793,-58.5047240825759 -34.7548114767835,-58.5008038580418 -34.7599148523494,-58.5012336654934 -34.7601385987774)))","133","11283",Buenos Aires,Esteban Echeverría,Nueve De Abril
"MULTIPOLYGON (((-58.588533471145 -34.5140955615236,-58.5882342720097 -34.51509574149,-58.5878837815941 -34.5152923580646,-58.5866692385519 -34.5180048626666,-58.5860128281768 -34.5194896528532,-58.5866644979464 -34.5196957364555,-58.5868365846208 -34.5194127575843,-58.5870844924757 -34.5184595946249,-58.5872597376835 -34.5180278930155,-58.5878837815942 -34.5167498852806,-58.5879820898815 -34.5168353707478,-58.5881418107803 -34.5169193944506,-58.588593310972 -34.5170191645024,-58.5890121897614 -34.5167755309208,-58.5895080054712 -34.5163352807646,-58.5895165540179 -34.5159933388958,-58.5894083279362 -34.5157446539002,-58.5893199374433 -34.5148478336351,-58.5891489665089 -34.5143691150187,-58.5888925101073 -34.5138903964023,-58.588533471145 -34.5140955615236)))","134","11111",Buenos Aires,General San Martín,José León Suárez
"MULTIPOLYGON (((-58.7175798225365 -34.60779626462,-58.717325517084 -34.6079052526711,-58.7179761786975 -34.6091855868138,-58.7180012430007 -34.6092349068942,-58.7184081317247 -34.6097435177993,-58.7185534491262 -34.6096853908387,-58.7180593699613 -34.6086754348987,-58.7175798225365 -34.60779626462)))","135","19900",Buenos Aires,Moreno,Trujui
"MULTIPOLYGON (((-58.7599950746004 -34.5926786683708,-58.7599618361168 -34.5920471371813,-58.7597707148358 -34.5918310870375,-58.7556366784309 -34.5949762785535,-58.7561269460649 -34.5954291528934,-58.7599950746004 -34.5926786683708)))","136","16621",Buenos Aires,Moreno,Trujui
"MULTIPOLYGON (((-58.8005542738768 -34.5069359806808,-58.800683597174 -34.5074307828614,-58.800888827624 -34.5075657289107,-58.8010350191773 -34.5074026691012,-58.8009787916568 -34.5073661212128,-58.8015579351182 -34.5068403938959,-58.8014061208128 -34.5066998250946,-58.8005542738768 -34.5069359806808)))","137","16032",Buenos Aires,José C. Paz,José C. Paz
"MULTIPOLYGON (((-58.2302779608747 -34.7230320972534,-58.2299653579862 -34.7228358117188,-58.2296139826464 -34.7232526155701,-58.2293692315476 -34.7235676417368,-58.2296406387067 -34.7237203082638,-58.2298878130836 -34.7234149752099,-58.2299290088131 -34.7234319381573,-58.2302779608747 -34.7230320972534)))","138","20419",Buenos Aires,Quilmes,Quilmes
"MULTIPOLYGON (((-58.6632632940808 -34.5053272345413,-58.6632040809109 -34.5053576710977,-58.6632716193032 -34.5054261883073,-58.6634546581346 -34.5055377734773,-58.6634772286153 -34.505491711092,-58.6632632940808 -34.5053272345413)))","139","15632",Buenos Aires,Malvinas Argentinas,Sourdeaux
"MULTIPOLYGON (((-58.7297565894147 -34.6417960757877,-58.7294604687186 -34.6419145240661,-58.7287399083582 -34.6423981878697,-58.7282068911053 -34.642822627534,-58.7280884428268 -34.643123683575,-58.7282414385198 -34.6433408387521,-58.7284783350767 -34.6434642223755,-58.7288731626714 -34.6436616361729,-58.729277860956 -34.6438245025557,-58.729652947171 -34.6440367223879,-58.7299243911424 -34.6441995887707,-58.7301563523543 -34.6442242654954,-58.7303636368416 -34.644179847391,-58.7307387230566 -34.6440317870429,-58.7312223868602 -34.6435481232394,-58.7297565894147 -34.6417960757877)))","140","12831",Buenos Aires,Merlo,Merlo
"MULTIPOLYGON (((-58.7309932810044 -34.4782108853472,-58.7322673032289 -34.478904627729,-58.7323240344985 -34.4788316875253,-58.7310495573074 -34.478126290148,-58.7309932810044 -34.4782108853472)))","141","13139",Buenos Aires,Malvinas Argentinas,Tierras Altas
"MULTIPOLYGON (((-58.7399706476555 -34.6462649628604,-58.7399148425969 -34.6463123588067,-58.7403043087806 -34.6465544594073,-58.7403555748773 -34.646509916547,-58.7399706476555 -34.6462649628604)))","142","15333",Buenos Aires,Moreno,Paso Del Rey
"MULTIPOLYGON (((-58.740072734293 -34.6469523464814,-58.7399211582648 -34.6470049770468,-58.7400298672281 -34.6471869039336,-58.7400675524106 -34.6472649660975,-58.7400998539957 -34.6473484118589,-58.7401281178826 -34.6474614674065,-58.7401711866626 -34.6475597180611,-58.7402209849396 -34.6476727736087,-58.7403379923424 -34.647560755817,-58.7402222050986 -34.6472407619796,-58.740072734293 -34.6469523464814)))","143","15332",Buenos Aires,Moreno,Paso Del Rey
"MULTIPOLYGON (((-58.4606639494829 -34.7512502529439,-58.4613093819802 -34.7514830427705,-58.461325329523 -34.7514464963182,-58.4610768136472 -34.7513654296421,-58.4606834409242 -34.7512041822647,-58.4606639494829 -34.7512502529439)))","144","12271",Buenos Aires,Lomas de Zamora,Santa Catalina
"MULTIPOLYGON (((-58.6717738956213 -34.7685923076452,-58.6707574411399 -34.7677434010215,-58.6700398392432 -34.7672060418547,-58.6696254494156 -34.7675665273146,-58.6696355564846 -34.7677147643261,-58.6701476479789 -34.7680988329468,-58.6698545429788 -34.768354878694,-58.6700061490134 -34.7684626874297,-58.6702992540134 -34.768664828809,-58.6703801105651 -34.7686345076021,-58.6707945003928 -34.768974778924,-58.6709831656802 -34.7689613028321,-58.6712560565423 -34.768964671855,-58.6714177696458 -34.76898151697,-58.6717738956213 -34.7685923076452)))","145","12735",Buenos Aires,La Matanza,González Catán
"MULTIPOLYGON (((-58.8018258622382 -34.5211751245993,-58.8008697363955 -34.5205165719499,-58.8004060348058 -34.5202214891201,-58.8005500633299 -34.5199545094169,-58.8003076738626 -34.519785890657,-58.8001337466359 -34.5196904296193,-58.8001009960114 -34.5197286386813,-58.7999126799202 -34.5196030946204,-58.7999454305447 -34.5195321349339,-58.7995224016442 -34.5192237332193,-58.7988237216536 -34.5199087671163,-58.7994350666453 -34.5203727342976,-58.7996261119553 -34.5202908577362,-58.7999985394694 -34.5206254715656,-58.800132029321 -34.5207519356356,-58.8000547457227 -34.5212683305877,-58.7999372428886 -34.5214971724075,-58.8008870110008 -34.5221248927115,-58.8018258622382 -34.5211751245993)))","146","11614",Buenos Aires,José C. Paz,José C. Paz
"MULTIPOLYGON (((-58.8181359160037 -34.5056458743184,-58.8194302703952 -34.5068165907135,-58.8217039174183 -34.5056106521919,-58.8201611882776 -34.5036029909813,-58.8198195336505 -34.5037650127632,-58.8195342344258 -34.5039728233096,-58.8192771129024 -34.5043990110403,-58.8181359160037 -34.5056458743184)))","147","18763",Buenos Aires,José C. Paz,José C. Paz
"MULTIPOLYGON (((-58.8055531405458 -34.5129045066147,-58.805828649646 -34.5125865102756,-58.8047621948558 -34.5118568306824,-58.8045280006097 -34.5121132830593,-58.804521226396 -34.5121607025555,-58.8052238091343 -34.5126610266267,-58.8055531405458 -34.5129045066147)))","148","12232",Buenos Aires,José C. Paz,José C. Paz
"MULTIPOLYGON (((-58.7874799395276 -34.5111666202849,-58.7872870700574 -34.5108138034909,-58.7870608191371 -34.5108965915753,-58.7872860563546 -34.5112562032691,-58.7874799395276 -34.5111666202849)))","149","15837",Buenos Aires,José C. Paz,José C. Paz
"MULTIPOLYGON (((-58.4922498062541 -34.735000241483,-58.4924609602634 -34.7352024734919,-58.4926810362732 -34.7353987575006,-58.4927999962784 -34.7352827714955,-58.4923806622599 -34.7349467094806,-58.4922498062541 -34.735000241483)))","150","11868",Buenos Aires,Esteban Echeverría,Nueve De Abril
"MULTIPOLYGON (((-58.4423894967048 -34.6881762437805,-58.4415810402553 -34.6877194250117,-58.4401354299976 -34.6869003569652,-58.4392990153075 -34.6865487792649,-58.4392609074712 -34.6867081270533,-58.4423356259281 -34.6882499616854,-58.4423894967048 -34.6881762437805)))","151","17246",Buenos Aires,Lanús,Lanús Oeste
"MULTIPOLYGON (((-58.7383447780436 -34.5307307709972,-58.7380315219547 -34.5304453037366,-58.7379151565914 -34.5305106049976,-58.7382262890953 -34.5307968469011,-58.7383447780436 -34.5307307709972)))","152","15890",Buenos Aires,José C. Paz,José C. Paz
"MULTIPOLYGON (((-58.2889068734501 -34.8326891553534,-58.2878373152585 -34.8321357752456,-58.2878059521318 -34.8321989160016,-58.288851070414 -34.8327403081365,-58.2889068734501 -34.8326891553534)))","153","19405",Buenos Aires,Florencio Varela,Santa Rosa
"MULTIPOLYGON (((-58.5858231782913 -34.5198096606037,-58.585525274226 -34.519740122642,-58.5851410998153 -34.5195934668503,-58.5851235648837 -34.5196396953064,-58.5834306469411 -34.5190642307327,-58.5833063083351 -34.5192714617426,-58.5857476490405 -34.5200079288702,-58.5858231782913 -34.5198096606037)))","154","12355",Buenos Aires,General San Martín,José León Suárez
"MULTIPOLYGON (((-58.8135257550771 -34.4908839337473,-58.8136322886023 -34.4911304065671,-58.8137365023395 -34.4912666860695,-58.8139001847762 -34.4914948453617,-58.8143370194252 -34.4919086887134,-58.8144633263525 -34.4922219786602,-58.8144793592352 -34.4923448974272,-58.8144553099112 -34.4924945376651,-58.8144659984996 -34.4925426363131,-58.8145809008252 -34.4926548664916,-58.8146958031508 -34.4927804574056,-58.8148561319772 -34.492964835556,-58.8149656900086 -34.4930022456155,-58.8150699037458 -34.4929701798502,-58.8151874782185 -34.4929007040254,-58.8153050526912 -34.492815195318,-58.8153932335458 -34.4928125231709,-58.8154814144003 -34.49282721998,-58.81412396367 -34.4905238291738,-58.8135257550771 -34.4908839337473)))","155","17377",Buenos Aires,José C. Paz,José C. Paz
"MULTIPOLYGON (((-58.2428722456098 -34.7011971011134,-58.2417793124938 -34.7000212505432,-58.2412883087566 -34.7004421108894,-58.2407534653999 -34.7003149759932,-58.2401134069567 -34.7007007646439,-58.2409094908687 -34.7015577552565,-58.24045973995 -34.7018230589004,-58.2401090229948 -34.7020378730355,-58.2404341176152 -34.7023280495638,-58.241042806888 -34.7025683324302,-58.2416424527764 -34.7021679040131,-58.2428722456098 -34.7011971011134)))","156","11798",Buenos Aires,Quilmes,Quilmes
"MULTIPOLYGON (((-58.3030550876875 -34.7078949600702,-58.3029233512904 -34.7078565683201,-58.3028285010845 -34.7079032406437,-58.3028194677316 -34.7079423851731,-58.3027637620551 -34.7079724963495,-58.3027351564375 -34.7080251909084,-58.3026907424522 -34.7080214270113,-58.3026556670666 -34.7079701570898,-58.3021867566361 -34.7073947381511,-58.3021325565184 -34.7073902214746,-58.3020964231066 -34.7074210854305,-58.3021965427684 -34.7075144300776,-58.3021385787537 -34.707566371857,-58.302246978989 -34.707630358107,-58.302276337386 -34.7076807943275,-58.3023169874743 -34.7077297249893,-58.3023470986507 -34.7077681167393,-58.3023606486801 -34.7077485444746,-58.3023847376213 -34.7077613417246,-58.3023433347537 -34.7078072612687,-58.3024193654742 -34.7078652252834,-58.3024750711507 -34.7078825392099,-58.3025533602095 -34.7079457726804,-58.3024743183713 -34.7080097589304,-58.3024411960772 -34.7080609479304,-58.3025842241654 -34.7081422481069,-58.3026760632536 -34.7081828981951,-58.3028763025771 -34.7082054815775,-58.3030404084889 -34.7082205371657,-58.3030400320992 -34.708156174526,-58.3030550876875 -34.7078949600702)))","157","21605",Buenos Aires,Quilmes,Don Bosco
"MULTIPOLYGON (((-58.2508408758912 -34.7122625148347,-58.2488441029138 -34.7129584544483,-58.2488629594445 -34.7130314643508,-58.2508893683553 -34.7123598199108,-58.2508408758912 -34.7122625148347)))","158","17637",Buenos Aires,Quilmes,Quilmes
"MULTIPOLYGON (((-58.7970228315654 -34.5558897196656,-58.7978909992912 -34.5551322980185,-58.7971847645066 -34.554696346521,-58.7963357745717 -34.5553769815113,-58.7970228315654 -34.5558897196656)))","159","19114",Buenos Aires,Moreno,Cuartel V
