WKT,id,id_poligon,se_inunda_,con_que_fr,provinicia,departamen,localidad
"MULTIPOLYGON (((-60.7239958016532 -32.9482080575244,-60.7237663210786 -32.9482162532592,-60.723670447552 -32.9482507083658,-60.7237167019011 -32.9483825332608,-60.7238360905292 -32.9484890515586,-60.7240150424529 -32.9485906778318,-60.7241264011877 -32.9486148904965,-60.7243735136585 -32.9486762483777,-60.7247294022385 -32.9487383262851,-60.7255021197769 -32.9488497021869,-60.7255120125931 -32.9485645719887,-60.724610481764 -32.9485358869168,-60.7245449158855 -32.9484785167732,-60.724003997388 -32.9484457338339,-60.7240285845925 -32.9482982106073,-60.7239958016532 -32.9482080575244)))","2527","11231","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.7233744890342 -32.9512801311736,-60.7251076260131 -32.9513404503655,-60.7251104215874 -32.9510355860339,-60.7234098066143 -32.9510396839013,-60.7233744890342 -32.9512801311736)))","2528","11991","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.7197782769799 -32.886776755052,-60.7196106389165 -32.8867539497811,-60.718893148005 -32.8905409520478,-60.7190446928144 -32.8905905021161,-60.7197782769799 -32.886776755052)))","2529","14846","SÍ, SÓLO EN UN SECTOR DEL BARRIO",OCASIONALMENTE (ALGUNAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.7359164750272 -32.9816836312431,-60.7347778416576 -32.9820484729007,-60.733835213 -32.9823283869999,-60.7331092125408 -32.9824688416575,-60.7330795531352 -32.9827155173223,-60.7359247375136 -32.982277895856,-60.7359248416576 -32.9818428416575,-60.7359164750272 -32.9816836312431)))","2530","20707","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.7447552516292 -32.9647624503258,-60.7354522052136 -32.964538,-60.7370907505585 -32.9663862317264,-60.7367034169999 -32.966527647,-60.7331469489999 -32.966515445,-60.7337741980387 -32.9701107907354,-60.734633158 -32.974448098,-60.7447756490224 -32.9747967019551,-60.744943 -32.971076,-60.7445343509775 -32.9710541986965,-60.7447552516292 -32.9647624503258)))","2531","23828","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Pérez
"MULTIPOLYGON (((-60.6924620070046 -32.9635073719997,-60.691774654 -32.963508255,-60.6914377049999 -32.9635631749999,-60.691009 -32.963713,-60.6903413896334 -32.9640239005127,-60.6902948973791 -32.9640897199781,-60.6901043409202 -32.9641166590798,-60.6897566924294 -32.964142878773,-60.6888114256323 -32.9642896045521,-60.6888970821665 -32.9646188629949,-60.688932601387 -32.964884010589,-60.6914742459994 -32.9650028970005,-60.691658103 -32.9664165359999,-60.6916108469992 -32.9673038989997,-60.6915785454987 -32.9679896510002,-60.6916540109994 -32.96813499,-60.6922753340094 -32.9680611189975,-60.6923256290035 -32.9667539860027,-60.6924620070046 -32.9635073719997)))","2532","23861","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6914263247601 -32.9695122402383,-60.6911009620773 -32.9705239176948,-60.6912328177616 -32.9705363483409,-60.6914087402339 -32.970456077644,-60.6916737205834 -32.9703937799353,-60.6922363964364 -32.9703843745545,-60.6926235638295 -32.9704058962109,-60.6926382217506 -32.970137508897,-60.6920221988625 -32.9701322336001,-60.6920360285617 -32.969895084782,-60.6920445895685 -32.9695332185507,-60.6921528319945 -32.9695326187407,-60.6921663368977 -32.9689689984399,-60.692110639352 -32.9689694459947,-60.6921851469189 -32.968071841817,-60.6917573656705 -32.9681227020679,-60.6917492306744 -32.9682327916673,-60.6916736677525 -32.9682375551844,-60.6915949456579 -32.9691063789988,-60.6914263247601 -32.9695122402383)))","2533","18875","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.6927566078536 -32.9784452831463,-60.689034205717 -32.9782733085755,-60.6889260995755 -32.9799085783237,-60.6888461807218 -32.9806845711511,-60.6887529281511 -32.9816069729999,-60.6887573132925 -32.9828346852829,-60.6888065378226 -32.9836607677964,-60.6897884600137 -32.983662733035,-60.6899377128158 -32.982964232158,-60.6911434485707 -32.9828746914244,-60.6911488971415 -32.982294411434,-60.6897601399952 -32.9822726171511,-60.6898467285611 -32.9793668314196,-60.6927303299951 -32.9793944887122,-60.6927566078536 -32.9784452831463)))","2534","20822","SÍ, TODO EL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,Rosario,Rosario
"MULTIPOLYGON (((-60.7455693577055 -32.7543757479179,-60.7455396412321 -32.7542401665082,-60.744360979 -32.754449168,-60.744200378 -32.7545083639999,-60.7442524000757 -32.7546144983938,-60.7455693577055 -32.7543757479179)))","2535","19357","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,San Lorenzo,San Lorenzo
"MULTIPOLYGON (((-60.7521622960423 -32.7498649035269,-60.7519266360262 -32.7487945441047,-60.751500115675 -32.7488598100289,-60.7517270743847 -32.7499740807359,-60.7521622960423 -32.7498649035269)))","2536","19356","SÍ, SÓLO EN UN SECTOR DEL BARRIO",CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO),Santa Fe,San Lorenzo,San Lorenzo
