WKT,id,provincia,departamen,localidad,tipo
"MULTIPOLYGON (((-53.7835906932704 -26.2946987486164,-53.7835341034318 -26.2946861668008,-53.7834714864934 -26.2946950163521,-53.7834066026225 -26.294686390269,-53.7833407126859 -26.2947083459239,-53.7832720870582 -26.294722341572,-53.7831748900376 -26.2947398047809,-53.7830444478913 -26.2947667196711,-53.782937503195 -26.2947941162653,-53.7828658478137 -26.2948261939714,-53.7828338861931 -26.2948860283446,-53.7828191275823 -26.2949240293359,-53.7828317025949 -26.2949594168229,-53.7828487541958 -26.2950032704004,-53.7829009490539 -26.2950485211895,-53.7829494734745 -26.2950870088043,-53.7830049433351 -26.2951011968191,-53.783110748405 -26.295109770757,-53.7832133510296 -26.2951019436271,-53.7833132782001 -26.2951281091884,-53.783411072765 -26.2951315326706,-53.7835049940167 -26.2951450099419,-53.7836078625243 -26.2951444841646,-53.783745445441 -26.2951300782495,-53.7837997867575 -26.295108899242,-53.7838072813534 -26.2949923184015,-53.7837823942509 -26.2949133771562,-53.783730942346 -26.294812408835,-53.7836602609729 -26.2947386085972,-53.7835906932704 -26.2946987486164)))","1",Misiones,General Manuel Belgrano,Bernardo De Irigoyen,Espejo
"MULTIPOLYGON (((-55.8921332005032 -27.4049477306285,-55.8920205401416 -27.4058178594717,-55.8918930754532 -27.406678778836,-55.8918374747351 -27.4071828430775,-55.8919847270907 -27.4075975517037,-55.8919994392436 -27.4081942843908,-55.89182979605 -27.408940829656,-55.891489081462 -27.410100058208,-55.8911388684964 -27.4104601486745,-55.8908522957012 -27.4109773105951,-55.8902946839 -27.4120898320714,-55.8887390392578 -27.4139921236795,-55.8877215334296 -27.4162190782181,-55.8878449974711 -27.4172652603054,-55.8882482847957 -27.418348266387,-55.8889788184084 -27.4191842234186,-55.890007703756 -27.419921642894,-55.8915644539903 -27.4204094180908,-55.8932589428404 -27.4206107055437,-55.8947212994099 -27.420722370471,-55.8965991000593 -27.4207675121974,-55.8976628846473 -27.420831383944,-55.8982203428252 -27.4206980583061,-55.8986327216733 -27.4204549759411,-55.8991723501374 -27.4207218321881,-55.8998615268815 -27.4209249661341,-55.9005233448095 -27.420925047952,-55.900986778614 -27.4208409944826,-55.9014887282477 -27.4206242081834,-55.9018774109556 -27.4204251496446,-55.9024052451177 -27.4203713312056,-55.9035571262035 -27.4204214145937,-55.9049843001729 -27.4210734502348,-55.9052683466091 -27.4225033565796,-55.905268937811 -27.4234535273865,-55.9047676101037 -27.4244246549873,-55.9033549024901 -27.4259357867862,-55.9021051346447 -27.4269606805381,-55.9023507574255 -27.4279358120696,-55.9032953164874 -27.4282486953089,-55.9047928801394 -27.4285038238796,-55.905818194985 -27.4284067042273,-55.9064101507436 -27.4279790004272,-55.9077520640601 -27.4269061839444,-55.9082378426155 -27.4259547888029,-55.9089043138415 -27.4246065242392,-55.9093019039974 -27.4225085516891,-55.9090953247382 -27.4220953931705,-55.9084824729357 -27.4211175846767,-55.9079178229604 -27.4198918810718,-55.90776134786 -27.4196366754608,-55.9075041418854 -27.4193544090842,-55.9073205774509 -27.4191815625321,-55.9068192227955 -27.4189466309687,-55.9064496906538 -27.4187822504328,-55.906084750173 -27.4186435512572,-55.9058230598859 -27.4186326762815,-55.9055798673261 -27.418682259423,-55.9053229953582 -27.4186303145087,-55.9041097540891 -27.4185285527114,-55.9024481972868 -27.4182851023352,-55.9008425891839 -27.4179103191674,-55.8996399074873 -27.4179475101834,-55.8991810040823 -27.4174664311971,-55.8980972167546 -27.4174978397156,-55.8975050436842 -27.4171297700296,-55.8965101437663 -27.4168247347351,-55.8961578806735 -27.4160965782482,-55.8967414230899 -27.4148533273164,-55.8972272016453 -27.413901828337,-55.8974138529161 -27.4132736076673,-55.8974436459175 -27.4121170026421,-55.8972623774074 -27.4114657253394,-55.8970832665608 -27.411217292144,-55.8970174226401 -27.4109511286862,-55.8967975768514 -27.4108242667703,-55.8965499767907 -27.4106556705983,-55.8963331103022 -27.410413145512,-55.8960407325298 -27.4101824397797,-55.8957957316755 -27.4099615971282,-55.8955122610788 -27.4095797396663,-55.895334670607 -27.409077629084,-55.8951371081201 -27.4084749638577,-55.8948988106911 -27.4079938708952,-55.8945857621656 -27.4073977574347,-55.8942623168142 -27.4070106285871,-55.8939877226687 -27.4066734516237,-55.893825696711 -27.4060536903877,-55.8935474245272 -27.4055673242897,-55.893263923206 -27.405381299659,-55.8929537925313 -27.4050612007771,-55.8924637600981 -27.4048153435818,-55.8922790553827 -27.4048327368318,-55.8921332005032 -27.4049477306285)))","2",Misiones,Capital,Posadas,Espejo
"MULTIPOLYGON (((-54.0986573827868 -26.6146216474562,-54.0985918896732 -26.6146177165655,-54.0985137623651 -26.6146543509253,-54.0984208629741 -26.6147159549779,-54.098354774335 -26.6147565613746,-54.0983262519399 -26.6147736360537,-54.0983072018595 -26.6147816704952,-54.0982586098341 -26.6148253885273,-54.0981990908158 -26.6149421061566,-54.0981367945413 -26.6150257193799,-54.0980890527855 -26.6151070381286,-54.098037892185 -26.615151999505,-54.0979505473063 -26.6152798117447,-54.097900669883 -26.6153312791735,-54.097835912705 -26.6154119258554,-54.097802839802 -26.6154439731328,-54.0977748513238 -26.6154685104862,-54.0977253474202 -26.6155266273397,-54.0977245409929 -26.6155510723843,-54.0977398930558 -26.6155813556522,-54.0978000270135 -26.615638959884,-54.0978695256142 -26.6156917336357,-54.0979425573937 -26.6157338878174,-54.0979928521791 -26.6157511156777,-54.0980591955624 -26.6157926471139,-54.0981358176876 -26.6158006933964,-54.0981839723639 -26.6158165815235,-54.0982398349864 -26.6158144836186,-54.0982898661446 -26.6158065966206,-54.0983950239896 -26.615712034453,-54.0984530378251 -26.6156399979501,-54.098538238153 -26.615539357752,-54.0986446286705 -26.6154320227978,-54.09870221404 -26.6153625693135,-54.0987741430264 -26.6152707294055,-54.0988494908576 -26.6152152467295,-54.0988788285631 -26.6151167040753,-54.0989556704732 -26.6150878194673,-54.0989785834098 -26.6150137690013,-54.0989441396448 -26.6149152182316,-54.0989567782809 -26.6148461415419,-54.0989506326847 -26.6147959585495,-54.098956844331 -26.6147656299204,-54.0989550821832 -26.614742428181,-54.098930633546 -26.6147135787043,-54.0989011532096 -26.6146972622053,-54.0988725275843 -26.6146900350711,-54.0988125429199 -26.6147045225795,-54.0987286918192 -26.6147311580164,-54.0986575825847 -26.6147130184848,-54.0986762108615 -26.6146647998858,-54.0986573827868 -26.6146216474562)))","3",Misiones,San Pedro,San Pedro,Espejo
"MULTIPOLYGON (((-55.0991102 -27.5111378,-55.0993175149954 -27.5108418942284,-55.0994046664602 -27.5105123011996,-55.0994951171635 -27.509715765793,-55.0994874346324 -27.5093358009382,-55.0994647165744 -27.5091788623556,-55.0994286126087 -27.5090114785623,-55.0993118619342 -27.5088366454536,-55.0991639 -27.5087113,-55.0989010646298 -27.5086902446452,-55.098626205972 -27.5087583071296,-55.098384239068 -27.5089064869867,-55.0982159841664 -27.5090556771649,-55.0981352972914 -27.5093040178811,-55.0980268448129 -27.5096971298805,-55.0978657 -27.5104527,-55.0978645759627 -27.5107581694409,-55.0979313264811 -27.5109232654523,-55.098092924384 -27.5110534670995,-55.0984584043433 -27.5111567991437,-55.098846152327 -27.5112014806836,-55.0991102 -27.5111378)))","4",Misiones,Oberá,Oberá,Laguna
"MULTIPOLYGON (((-55.9439204 -27.3622254,-55.9442836845318 -27.3622661473553,-55.9446178 -27.3622254,-55.9450155191594 -27.3621415137229,-55.9453205 -27.3619777,-55.9455063590121 -27.3617320243332,-55.9456102 -27.3614822,-55.945674273275 -27.3610989796935,-55.9456822626826 -27.3608169178379,-55.9456463215604 -27.360645367721,-55.9455995 -27.3604436,-55.945491855894 -27.3604171609925,-55.9453742 -27.3604341,-55.9451542 -27.3606961,-55.9442745 -27.3617586,-55.9439204 -27.3622254)))","5",Misiones,Capital,Posadas,Laguna
"MULTIPOLYGON (((-54.8952998348382 -27.0892007398807,-54.8953077044537 -27.0891806176601,-54.8952970497399 -27.0891425723963,-54.8952542150774 -27.0891184667715,-54.8952117523888 -27.0891056903979,-54.8951795724401 -27.0891196300496,-54.8950368826434 -27.0892828479078,-54.8949597 -27.0893887,-54.8949364816409 -27.0894327609707,-54.8949335063977 -27.0894523925579,-54.8949394480203 -27.0894697911028,-54.89498062735 -27.0894949897513,-54.8950036923534 -27.089498034849,-54.8950274355879 -27.0894887526277,-54.8950656346944 -27.0894516483812,-54.8951706581477 -27.0893329506034,-54.8952782192427 -27.0892316215978,-54.8952998348382 -27.0892007398807)))","6",Misiones,Cainguás,Aristóbulo Del Valle,Humedal
"MULTIPOLYGON (((-65.0528233004542 -29.2676811661155,-65.0528535134748 -29.2676435255785,-65.0528664382088 -29.267610242461,-65.0528679104102 -29.2675643268219,-65.052861569408 -29.2675329558435,-65.0528495579242 -29.2675102202039,-65.0528444851224 -29.2674851234087,-65.052836702144 -29.2674759697375,-65.0528200382507 -29.2674448927271,-65.0527929645784 -29.2674283554748,-65.052771557876 -29.2674251789433,-65.0527479482771 -29.2674404552287,-65.0527177370124 -29.2674670978066,-65.0527055482411 -29.2674948497517,-65.0526930682551 -29.2675248298617,-65.0526832890647 -29.2675645027617,-65.052680234466 -29.2675847038767,-65.0526793846825 -29.2676075578821,-65.0526773344416 -29.2676304348027,-65.0526818306838 -29.2676563480394,-65.052697274812 -29.2676758870744,-65.0527199012795 -29.2676906015089,-65.0527414814815 -29.2677001397376,-65.0527642365249 -29.2677044835789,-65.0527928355494 -29.2677065537935,-65.0528233004542 -29.2676811661155)))","7",Catamarca,La Paz,Recreo,Laguna
"MULTIPOLYGON (((-60.1019704848045 -25.0607657336423,-60.1022019017136 -25.0605605883559,-60.1022511767961 -25.0603368303736,-60.1022129596142 -25.0601771782413,-60.1019286491257 -25.0599638484428,-60.1016805714645 -25.0598999765018,-60.1014711689132 -25.05999810967,-60.101117988565 -25.0599445570758,-60.100709421633 -25.0597898856256,-60.1006339131469 -25.0597413036368,-60.1005446018511 -25.0597135234882,-60.10029488473 -25.0597145990481,-60.1000606410343 -25.0597584830708,-60.0999978853346 -25.05989464404,-60.0999876894321 -25.0599706610907,-60.1000673631062 -25.060086497535,-60.1000990958724 -25.060359576471,-60.1002906846367 -25.0605367761304,-60.1004640524076 -25.0606570520868,-60.1005935779204 -25.060772202262,-60.100954887939 -25.0609408891957,-60.1011683384183 -25.0610102914927,-60.1014535024512 -25.0609712115757,-60.1016967124545 -25.0609000217792,-60.1019704848045 -25.0607657336423)))","8",Formosa,Patiño,Estanislao Del Campo,Laguna
"MULTIPOLYGON (((-60.1004602269328 -25.0587114302828,-60.1004582468051 -25.0586737433765,-60.1004472565335 -25.0586172811756,-60.1004339243322 -25.0585579587081,-60.1004347482889 -25.0584979922035,-60.1004307838065 -25.0584501106517,-60.1003919391468 -25.0583972889621,-60.1003403601759 -25.0583707587313,-60.1003015070625 -25.0583729218557,-60.1002766051747 -25.0583825595113,-60.1002407526247 -25.0584093093498,-60.1002210886503 -25.0584641994208,-60.1002116623013 -25.0585028997721,-60.1002160868251 -25.0585393877073,-60.1002088455363 -25.0586076564458,-60.100211080773 -25.0586420683083,-60.1002006883916 -25.058671219964,-60.1002233925387 -25.0587144909847,-60.1002398885131 -25.0587304533841,-60.1002817443033 -25.0587391307444,-60.1003488574431 -25.0587445823251,-60.1004438772609 -25.0587374905889,-60.1004602269328 -25.0587114302828)))","9",Formosa,Patiño,Estanislao Del Campo,Espejo
"MULTIPOLYGON (((-58.2172514453737 -26.2078427436441,-58.2172788976802 -26.2077377207849,-58.2172854021908 -26.2076647775017,-58.2172661220298 -26.2075585178631,-58.2172233366656 -26.2074631681094,-58.2171093033769 -26.207404978964,-58.2168989698068 -26.2073462033914,-58.2166535155036 -26.2073044902451,-58.2162778078975 -26.2074157059346,-58.2161581750533 -26.2074921634737,-58.2160842530361 -26.2076706992492,-58.2160835017433 -26.2077973871783,-58.2161214274579 -26.2079740492736,-58.216134484843 -26.2081057437437,-58.2161240446162 -26.2081994452901,-58.2160924763616 -26.2083079954298,-58.2160675852582 -26.2084097360405,-58.2160537576021 -26.2085269856357,-58.2160570321415 -26.2086415295605,-58.2160690944556 -26.2087029053407,-58.2161458176587 -26.2087425456241,-58.2162821694606 -26.2087756292576,-58.2163835883526 -26.2087941034247,-58.2165071379348 -26.2088191444404,-58.2166577603813 -26.2088269581122,-58.2168405780985 -26.2088109809988,-58.2169452041879 -26.2087886761794,-58.2169955119077 -26.2087346928392,-58.2170438105071 -26.2086623297614,-58.2170414485141 -26.2085605859661,-58.216951108252 -26.2084598157042,-58.2168662660423 -26.2082891382388,-58.2168739724255 -26.2081325849545,-58.2169642529369 -26.2080291291884,-58.2170592840037 -26.2079580022865,-58.2171747031924 -26.2079253601394,-58.2172514453737 -26.2078427436441)))","10",Formosa,Formosa,Formosa,Espejo
